region,period,total,year,month
total national,2018-01,55538.0,2018,1
total national,2017-12,44462.0,2017,12
total national,2017-11,54974.0,2017,11
total national,2017-10,138969.0,2017,10
total national,2017-09,314272.0,2017,9
total national,2017-08,619659.0,2017,8
total national,2017-07,575500.0,2017,7
total national,2017-06,285528.0,2017,6
total national,2017-05,231584.0,2017,5
total national,2017-04,188079.0,2017,4
total national,2017-03,87906.0,2017,3
total national,2017-02,56117.0,2017,2
total national,2017-01,56989.0,2017,1
total national,2016-12,44275.0,2016,12
total national,2016-11,52310.0,2016,11
total national,2016-10,128844.0,2016,10
total national,2016-09,268576.0,2016,9
total national,2016-08,631102.0,2016,8
total national,2016-07,550975.0,2016,7
total national,2016-06,255657.0,2016,6
total national,2016-05,207847.0,2016,5
total national,2016-04,160819.0,2016,4
total national,2016-03,102570.0,2016,3
total national,2016-02,57047.0,2016,2
total national,2016-01,55265.0,2016,1
total national,2015-12,40000.0,2015,12
total national,2015-11,47661.0,2015,11
total national,2015-10,113833.0,2015,10
total national,2015-09,229351.0,2015,9
total national,2015-08,574243.0,2015,8
total national,2015-07,504692.0,2015,7
total national,2015-06,215320.0,2015,6
total national,2015-05,214245.0,2015,5
total national,2015-04,139192.0,2015,4
total national,2015-03,73297.0,2015,3
total national,2015-02,47417.0,2015,2
total national,2015-01,46367.0,2015,1
total national,2014-12,37113.0,2014,12
total national,2014-11,42780.0,2014,11
total national,2014-10,99968.0,2014,10
total national,2014-09,207184.0,2014,9
total national,2014-08,562106.0,2014,8
total national,2014-07,464679.0,2014,7
total national,2014-06,200038.0,2014,6
total national,2014-05,180628.0,2014,5
total national,2014-04,124913.0,2014,4
total national,2014-03,70633.0,2014,3
total national,2014-02,44065.0,2014,2
total national,2014-01,43919.0,2014,1
total national,2013-12,35410.0,2013,12
total national,2013-11,43356.0,2013,11
total national,2013-10,85621.0,2013,10
total national,2013-09,188819.0,2013,9
total national,2013-08,526552.0,2013,8
total national,2013-07,468609.0,2013,7
total national,2013-06,206533.0,2013,6
