region,period,total,year,month
01 andalucã­a,2003-05,2.68,2003,5
01 andalucã­a,2003-04,3.2,2003,4
01 andalucã­a,2003-03,6.37,2003,3
01 andalucã­a,2003-02,8.36,2003,2
01 andalucã­a,2003-01,8.35,2003,1
01 andalucã­a,2002-12,11.86,2002,12
01 andalucã­a,2002-11,8.63,2002,11
01 andalucã­a,2002-10,4.44,2002,10
01 andalucã­a,2002-09,3.47,2002,9
01 andalucã­a,2002-08,4.04,2002,8
01 andalucã­a,2002-07,3.16,2002,7
01 andalucã­a,2002-06,2.77,2002,6
01 andalucã­a,2002-05,3.31,2002,5
01 andalucã­a,2002-04,3.89,2002,4
01 andalucã­a,2002-03,4.37,2002,3
01 andalucã­a,2002-02,9.41,2002,2
01 andalucã­a,2002-01,10.96,2002,1
01 andalucã­a,2001-12,11.01,2001,12
01 andalucã­a,2001-11,8.11,2001,11
01 andalucã­a,2001-10,4.47,2001,10
01 andalucã­a,2001-09,3.48,2001,9
01 andalucã­a,2001-08,3.71,2001,8
01 andalucã­a,2001-07,3.14,2001,7
01 andalucã­a,2001-06,2.49,2001,6
01 andalucã­a,2001-05,3.27,2001,5
01 andalucã­a,2001-04,3.17,2001,4
01 andalucã­a,2001-03,6.63,2001,3
01 andalucã­a,2001-02,8.35,2001,2
01 andalucã­a,2001-01,10.29,2001,1
01 andalucã­a,2000-12,6.0,2000,12
01 andalucã­a,2000-11,7.0,2000,11
01 andalucã­a,2000-10,4.0,2000,10
01 andalucã­a,2000-09,3.0,2000,9
01 andalucã­a,2000-08,3.0,2000,8
01 andalucã­a,2000-07,3.0,2000,7
01 andalucã­a,2000-06,2.0,2000,6
01 andalucã­a,2000-05,2.0,2000,5
01 andalucã­a,2000-04,2.0,2000,4
01 andalucã­a,2000-03,5.0,2000,3
01 andalucã­a,2000-02,7.0,2000,2
01 andalucã­a,2000-01,10.0,2000,1
01 andalucã­a,1999-12,7.9,1999,12
01 andalucã­a,1999-11,7.31,1999,11
01 andalucã­a,1999-10,3.99,1999,10
01 andalucã­a,1999-09,3.13,1999,9
01 andalucã­a,1999-08,3.55,1999,8
01 andalucã­a,1999-07,2.92,1999,7
01 andalucã­a,1999-06,2.45,1999,6
01 andalucã­a,1999-05,2.58,1999,5
01 andalucã­a,1999-04,3.19,1999,4
01 andalucã­a,1999-03,4.69,1999,3
01 andalucã­a,1999-02,8.17,1999,2
01 andalucã­a,1999-01,10.02,1999,1
02 aragã³n,2025-02,3.6,2025,2
02 aragã³n,2025-01,3.55,2025,1
02 aragã³n,2024-12,2.89,2024,12
02 aragã³n,2024-11,3.05,2024,11
02 aragã³n,2024-10,2.57,2024,10
02 aragã³n,2024-09,2.35,2024,9
02 aragã³n,2024-08,3.52,2024,8
02 aragã³n,2024-07,3.13,2024,7
02 aragã³n,2024-06,2.32,2024,6
02 aragã³n,2024-05,2.35,2024,5
02 aragã³n,2024-04,2.55,2024,4
02 aragã³n,2024-03,2.7,2024,3
02 aragã³n,2024-02,2.59,2024,2
02 aragã³n,2024-01,2.92,2024,1
02 aragã³n,2023-12,3.04,2023,12
02 aragã³n,2023-11,2.84,2023,11
02 aragã³n,2023-10,2.56,2023,10
02 aragã³n,2023-09,2.52,2023,9
02 aragã³n,2023-08,3.49,2023,8
02 aragã³n,2023-07,3.06,2023,7
02 aragã³n,2023-06,2.36,2023,6
